1.55  -0.0014879  -0.0014879
1.56  -0.0015024  -0.0015024
1.57  -0.0015164  -0.0015164
1.58  -0.0015295  -0.0015295
1.59  -0.0015421  -0.0015421
1.6  -0.0015538  -0.0015538
1.61  -0.0015648  -0.0015648
1.62  -0.0015749  -0.0015749
1.63  -0.0015842  -0.0015842
1.64  -0.0015924  -0.0015924
1.65  -0.0015999  -0.0015999
1.66  -0.0016062  -0.0016062
1.67  -0.0016116  -0.0016116
1.68  -0.0016158  -0.0016158
1.69  -0.0016189  -0.0016189
1.7  -0.0016208  -0.0016208
1.71  -0.0016216  -0.0016216
1.72  -0.0016209  -0.0016209
1.73  -0.0016191  -0.0016191
1.74  -0.0016157  -0.0016157
1.75  -0.0016111  -0.0016111
1.76  -0.0016049  -0.0016049
1.77  -0.0015972  -0.0015972
1.78  -0.0015879  -0.0015879
1.79  -0.001577  -0.001577
1.8  -0.0015644  -0.0015644
1.81  -0.0015501  -0.0015501
1.82  -0.0015336  -0.0015336
1.83  -0.001516  -0.001516
1.84  -0.001496  -0.001496
1.85  -0.001475  -0.001475
1.86  -0.00145  -0.00145
1.87  -0.001424  -0.001424
1.88  -0.001397  -0.001397
1.89  -0.001366  -0.001366
1.9  -0.001334  -0.001334
1.91  -0.001299  -0.001299
1.92  -0.001261  -0.001261
1.93  -0.001222  -0.001222
1.94  -0.00118  -0.00118
1.95  -0.001136  -0.001136
1.96  -0.001088  -0.001088
1.97  -0.001038  -0.001038
1.98  -0.000986  -0.000986
1.99  -0.00093  -0.00093
2.0  -0.000872  -0.000872
2.01  -0.000811  -0.000811
2.02  -0.000746  -0.000746
2.03  -0.00068  -0.00068
2.04  -0.000609  -0.000609
2.05  -0.000536  -0.000536
2.06  -0.000459  -0.000459
2.07  -0.00038  -0.00038
2.08  -0.000296  -0.000296
2.09  -0.00021  -0.00021
2.1  -0.00012  -0.00012
2.11  -2.6e-05  -2.6e-05
2.12  7e-05  7e-05
2.13  0.000171  0.000171
2.14  0.000276  0.000276
2.15  0.000383  0.000383
2.16  0.000495  0.000495
2.17  0.000611  0.000611
2.18  0.00073  0.00073
2.19  0.000853  0.000853
2.2  0.00098  0.00098
2.21  0.001112  0.001112
2.22  0.001247  0.001247
2.23  0.001386  0.001386
2.24  0.00153  0.00153
2.25  0.001677  0.001677
2.26  0.001829  0.001829
2.27  0.001985  0.001985
2.28  0.002146  0.002146
2.29  0.00231  0.00231
2.3  0.002479  0.002479
2.31  0.002652  0.002652
2.32  0.0028299  0.0028299
2.33  0.0030121  0.0030121
2.34  0.0031985  0.0031985
2.35  0.0033894  0.0033894
2.36  0.0035848  0.0035848
2.37  0.0037845  0.0037845
2.38  0.0039889  0.0039889
2.39  0.0041975  0.0041975
2.4  0.0044108  0.0044108
2.41  0.0046284  0.0046284
2.42  0.0048504  0.0048504
2.43  0.0050771  0.0050771
2.44  0.005308  0.005308
